G#,G,F#,F,E,D#,D,C#,C,B,A#,A,Cluster
0.033330842,0.0035871759999999996,0.173155967,0.015544428999999998,0.126896346,0.012181451000000001,0.20200284,0.006651221999999999,0.015469696000000002,0.04356924,0.314027352,0.053583439000000004,1.0
0.06996044400000001,0.010393237,0.203443729,0.029007988999999998,0.180485535,0.041572947,0.176142093,0.0038780729999999997,0.024586985,0.037694873,0.176840146,0.04599395,1.0
0.024646226,0.020754717,0.2,0.051886792,0.17004717,0.037146226,0.136910377,0.001179245,0.015566038,0.015801887,0.317334906,0.008726415,1.0
0.031939605,0.005097432,0.38353335899999996,0.029487676,0.065492322,0.0021938310000000003,0.288037166,0.000258098,0.002516454,0.009549619,0.17208672100000003,0.009807716999999999,2.0
0.018022128000000002,0.023725334,0.152275579,0.008212615,0.058514885,0.049161629000000005,0.54556861,0.010722026,0.031139499999999997,0.002623474,0.099235771,0.0007984489999999999,0.0
0.014577258999999999,0.002267574,0.1654249,0.011013928999999999,0.027534822999999996,0.023107656,0.6760609009999999,0.002267574,0.031098154,0.004103229,0.02159594,0.020948062,0.0
0.021974589,0.006456988,0.16923557600000003,0.09352218300000001,0.077588002,0.033638825,0.286294522,0.024890647999999998,0.017704645,0.130806082,0.131430952,0.006456988,1.0
0.019147083999999998,0.0039648,0.325790543,0.017986655,0.018760275,0.052025916,0.47123102200000005,0.003481288,0.007252683,0.004835122,0.069238952,0.006285659,0.0
0.087459509,0.015733457,0.307882153,0.031158414,0.054141601,0.015270708000000001,0.13789912099999999,0.042572883,0.017584452,0.06185408,0.13373438199999998,0.09470924,1.0
0.008424787,0.00498836,0.325241104,0.028821637999999997,0.035805342999999996,0.00498836,0.420574216,0.002217049,0.011417803,0.068950227,0.08668662,0.0018844920000000002,2.0
0.050915210999999995,0.0005259840000000001,0.5119924260000001,0.009993688,0.048285293,0.005785819,0.217862403,0.001998738,0.015358721,0.044813802,0.09004839,0.002419525,3.0
0.051119967,0.042325134,0.107874124,0.064174797,0.108423801,0.169987632,0.091383812,0.004672255,0.04301223,0.137831524,0.164353442,0.014841281000000001,1.0
0.070604754,0.007220941,0.259853575,0.042623608,0.071407081,0.045933206,0.42041921600000004,0.000100291,0.015143917,0.01905526,0.020459332,0.027178819,0.0
0.022710775,0.015244219,0.223685575,0.034843927999999996,0.11303536199999999,0.068961941,0.22596702300000002,0.002074043,0.005599916999999999,0.023644093999999997,0.26174427,0.002488852,1.0
0.051481214000000004,0.010296243,0.384934971,0.040281792000000004,0.222001445,0.048410405,0.124819364,0.005057803,0.018966763,0.058526012,0.025289017,0.009934970999999999,3.0
0.030917873999999998,0.01468599,0.122415459,0.025507246,0.034299517,0.017777778,0.553236715,0.006183575,0.021545894,0.015555556000000002,0.13468599,0.023188406,0.0
0.024103469,0.028336273,0.315931805,0.0223398,0.05396825400000001,0.034450323,0.309347443,0.00023515599999999998,0.014697237,0.08712522,0.099118166,0.010346855,2.0
0.016858515,0.04305266,0.517175745,0.023475028999999998,0.020302728,0.015045771999999999,0.179461615,0.005528868,0.042236925999999994,0.038158252999999996,0.08737424099999999,0.011329647,3.0
0.012531328000000001,0.001714813,0.17200897,0.008837884,0.048146682,0.010816515,0.519984171,0.001582905,0.005935892,0.017148133,0.19628017399999997,0.005012531,0.0
0.03925113,0.00232408,0.35919948399999996,0.019109103,0.142285345,0.025952227,0.311426727,0.0021949639999999998,0.008005165,0.012136862,0.074499677,0.003615236,2.0
0.03101425,0.012932583000000001,0.48006226799999996,0.021434559,0.036522572,0.016165729,0.245359837,0.014609028999999999,0.034007903,0.042390132999999997,0.048616932,0.016884205,3.0
0.013701431000000002,0.002351738,0.25991820000000004,0.11134969300000001,0.138139059,0.123108384,0.168302658,0.0038854809999999997,0.029141103999999998,0.053067485,0.09192229,0.0051124740000000005,1.0
0.00871411,0.011953972,0.272930399,0.012959446000000001,0.012512568,0.016981343,0.476818233,0.002234387,0.012847727,0.006144565,0.16322198599999999,0.002681265,0.0
0.00038354599999999996,0.000671205,0.543772174,0.000958865,0.020615591000000003,0.0,0.0036436859999999997,0.39802473899999996,0.00019177299999999998,0.0,0.0,0.031738422,3.0
0.024576689,0.000410981,0.12715765199999998,0.019316127,0.133322374,0.046851882000000004,0.295824429,0.000575374,0.007315469000000001,0.11145816199999999,0.229574223,0.0036166370000000002,1.0
0.027384098,0.004564016,0.328128753,0.018856593999999997,0.028705261,0.0036031709999999996,0.39394667299999997,0.0,0.00084074,0.029065577999999998,0.162743214,0.0021619020000000003,2.0
0.034300792000000004,0.004983876,0.34667253,0.006449720999999999,0.034593961,0.007475814,0.271181472,0.016710642,0.009821166999999999,0.014511873,0.250513046,0.002785107,2.0
0.053940774000000004,0.007653759,0.31216400899999996,0.10605922599999999,0.17640091100000002,0.04656036400000001,0.159817768,0.014487472,0.023872437000000003,0.028063781,0.069066059,0.00191344,1.0
0.032815965,0.001219512,0.17073170699999998,0.051884701,0.039578714,0.070509978,0.385809313,0.001995565,0.023059867,0.028159645,0.18769401300000002,0.00654102,0.0
0.045786062,0.01428282,0.12530389,0.035757699,0.16339141,0.02856564,0.334177472,0.005166126,0.028160453999999998,0.076884117,0.08995137800000001,0.052572934,0.0
0.078795812,0.014834206,0.24432809800000002,0.034380454,0.04982548,0.012041885,0.137085515,0.010994763999999999,0.016492147,0.07478185,0.319197208,0.007242583,1.0
0.17170300800000002,0.012129286000000001,0.050059595,0.027764145,0.040734768,0.037229194,0.21832714,0.00616981,0.03274206,0.17562925100000001,0.212507888,0.015003856000000001,1.0
0.036726128,0.001180483,0.24895068199999998,0.022691501,0.034758657000000005,0.138903463,0.34378279100000003,0.009050367,0.0613851,0.040267576,0.046694648,0.015608604,0.0
0.066291872,0.017685641000000002,0.130592645,0.049308972,0.17392832,0.052588428,0.304403842,0.004919185,0.028578121,0.06113844,0.090770672,0.019793863000000002,0.0
0.082110647,0.026383093,0.232198142,0.004845874,0.019114282,0.008614888000000001,0.426436936,0.0008076460000000001,0.023825548999999998,0.07861084900000001,0.075245659,0.021806434,0.0
0.024434389,0.008484163000000001,0.27352941199999997,0.011538462,0.040271493,0.016063348,0.39728506799999996,0.005882353000000001,0.009728506999999999,0.025791855,0.175452489,0.011538462,0.0
0.013730646,0.00038952199999999995,0.420780991,0.009445905,0.023858214,0.013341124,0.280845262,0.004966404000000001,0.005940208000000001,0.018210147,0.207615152,0.0008764239999999999,2.0
0.00811138,0.0018159810000000001,0.37966101700000005,0.004358354,0.11355932199999999,0.0,0.000847458,0.296973366,0.0,0.001452785,0.015738499,0.17748184,3.0
0.050342537,0.01951422,0.31741748,0.031347312,0.045567780999999995,0.040377829,0.224205937,0.032696698999999996,0.031347312,0.017749637,0.171164625,0.018268632,1.0
0.008513425,0.007016559,0.44522406200000003,0.010758723999999999,0.019085041,0.008232763,0.26560015,0.000841987,0.001029095,0.022078773,0.209187015,0.002432407,2.0
0.045891142,0.022411953,0.271211313,0.020944504,0.046691569,0.12259871900000001,0.304562433,0.017475987,0.013874066000000001,0.049226254000000004,0.076040555,0.009071505,2.0
0.079538247,0.016744894,0.548902702,0.023848789,0.06710643200000001,0.05404034,0.032221236,0.014588355,0.0058353419999999994,0.036153749,0.110617785,0.010402131,3.0
0.046934061,0.013124738,0.11203275900000001,0.053653927000000004,0.17104157899999997,0.05449391,0.31856362899999996,0.003359933,0.037169257000000004,0.045884082,0.108252835,0.03548929,0.0
0.072412897,0.035101403999999996,0.170631825,0.061622465,0.044136765,0.10374415,0.271385855,0.007215289000000001,0.060582422999999996,0.077938118,0.08424337,0.010985439,1.0
0.034670292000000005,0.011896668999999999,0.217199184,0.006458192,0.15352368,0.007364605,0.33605257200000005,0.001699524,0.01053705,0.009290732,0.206208928,0.005098572,0.0
0.09898729199999999,0.041799047,0.23947577399999997,0.019658459,0.033061954,0.042891183,0.296167593,0.0019857029999999997,0.007247816,0.06513105599999999,0.128177125,0.025416998,0.0
0.044789401,0.011073758999999999,0.227901918,0.029365236,0.048447696,0.008700811,0.353074946,0.00276844,0.028771999,0.057741744000000005,0.173422978,0.013941071999999999,0.0
0.014531688999999999,0.019294175,0.17193796600000003,0.035413359,0.19343021100000002,0.006960556999999999,0.301013555,0.016607643999999998,0.022591281,0.110514104,0.08010746099999999,0.027597997000000003,1.0
0.017824496999999998,0.027536562999999997,0.166476234,0.055530165,0.032449726,0.02845064,0.364145338,0.0019424129999999998,0.016224863,0.04673217599999999,0.237774223,0.004913163,0.0
0.002263673,0.027707352,0.127218399,0.0067004709999999995,0.024990945,9.05e-05,0.6988409999999999,0.0009054689999999999,0.060938066,0.009779066,0.028431728,0.012133285,0.0
0.06597964099999999,0.016966193,0.155711952,0.041724267999999995,0.074399899,0.152570064,0.293955008,0.006032424000000001,0.044614805,0.048133719000000005,0.073520171,0.026391856,0.0
0.19972437199999998,0.0048764970000000005,0.144068695,0.050567158,0.12127637,0.030849147,0.085974769,0.002332238,0.0078448,0.117884024,0.22898335600000003,0.005618573000000001,1.0
